Date,Start (ET),Visitor/Neutral,AwayPTS,Home/Neutral,HomePTS, , ,Attend.,Notes,HomeWin,AwayWin
2009-11-03,0 days 07:00:00.000000000,Denver Nuggets,111,Indiana Pacers,93,Box Score,,"10,627",,0,1
2009-11-03,0 days 07:00:00.000000000,Boston Celtics,105,Philadelphia 76ers,74,Box Score,,"11,251",,0,1
2009-11-03,0 days 07:30:00.000000000,Orlando Magic,80,Detroit Pistons,85,Box Score,,"15,487",,1,0
2009-11-03,0 days 07:30:00.000000000,Phoenix Suns,104,Miami Heat,96,Box Score,,"15,105",,0,1
2009-11-03,0 days 08:00:00.000000000,Milwaukee Bucks,81,Chicago Bulls,83,Box Score,,"19,789",,1,0
2009-11-03,0 days 08:00:00.000000000,Los Angeles Lakers,101,Oklahoma City Thunder,98,Box Score,OT,"18,203",,0,1
2009-11-03,0 days 08:30:00.000000000,Utah Jazz,85,Dallas Mavericks,96,Box Score,,"19,725",,1,0
2009-11-03,0 days 10:00:00.000000000,Atlanta Hawks,97,Portland Trail Blazers,91,Box Score,,"20,325",,0,1
2009-11-04,0 days 07:00:00.000000000,Phoenix Suns,100,Orlando Magic,122,Box Score,,"17,461",,1,0
2009-11-04,0 days 07:00:00.000000000,Detroit Pistons,99,Toronto Raptors,110,Box Score,,"17,915",,1,0
2009-11-04,0 days 07:00:00.000000000,Miami Heat,93,Washington Wizards,89,Box Score,,"17,413",,0,1
2009-11-04,0 days 07:30:00.000000000,Denver Nuggets,122,New Jersey Nets,94,Box Score,,"15,319",,0,1
2009-11-04,0 days 07:30:00.000000000,Indiana Pacers,101,New York Knicks,89,Box Score,,"19,273",,0,1
2009-11-04,0 days 08:00:00.000000000,Boston Celtics,92,Minnesota Timberwolves,90,Box Score,,"19,133",,0,1
2009-11-04,0 days 08:30:00.000000000,Los Angeles Lakers,103,Houston Rockets,102,Box Score,OT,"18,291",,0,1
2009-11-04,0 days 09:30:00.000000000,Dallas Mavericks,107,New Orleans Hornets,114,Box Score,OT,"13,566",,1,0
2009-11-04,0 days 10:00:00.000000000,Atlanta Hawks,113,Sacramento Kings,105,Box Score,,"11,751",,0,1
2009-11-04,0 days 10:30:00.000000000,Memphis Grizzlies,105,Golden State Warriors,113,Box Score,,"17,457",,1,0
2009-11-05,0 days 08:00:00.000000000,Chicago Bulls,86,Cleveland Cavaliers,85,Box Score,,"20,562",,0,1
2009-11-05,0 days 10:30:00.000000000,San Antonio Spurs,99,Utah Jazz,113,Box Score,,"19,797",,1,0
2009-11-06,0 days 07:00:00.000000000,Atlanta Hawks,83,Charlotte Bobcats,103,Box Score,,"15,874",,1,0
2009-11-06,0 days 07:00:00.000000000,Washington Wizards,86,Indiana Pacers,102,Box Score,,"14,556",,1,0
2009-11-06,0 days 07:00:00.000000000,Detroit Pistons,103,Orlando Magic,110,Box Score,,"17,461",,1,0
2009-11-06,0 days 07:00:00.000000000,New Jersey Nets,94,Philadelphia 76ers,97,Box Score,,"10,054",,1,0
2009-11-06,0 days 07:30:00.000000000,Phoenix Suns,110,Boston Celtics,103,Box Score,,"18,624",,0,1
2009-11-06,0 days 07:30:00.000000000,Denver Nuggets,88,Miami Heat,96,Box Score,,"19,600",,1,0
2009-11-06,0 days 08:00:00.000000000,Milwaukee Bucks,87,Minnesota Timberwolves,72,Box Score,,"13,758",,0,1
2009-11-06,0 days 08:00:00.000000000,Toronto Raptors,107,New Orleans Hornets,90,Box Score,,"15,010",,0,1
2009-11-06,0 days 08:00:00.000000000,Cleveland Cavaliers,100,New York Knicks,91,Box Score,,"19,763",,0,1
2009-11-06,0 days 08:30:00.000000000,Oklahoma City Thunder,94,Houston Rockets,105,Box Score,,"14,911",,1,0
2009-11-06,0 days 10:30:00.000000000,Los Angeles Clippers,118,Golden State Warriors,90,Box Score,,"18,788",,0,1
2009-11-06,0 days 10:30:00.000000000,Memphis Grizzlies,98,Los Angeles Lakers,114,Box Score,,"18,997",,1,0
2009-11-06,0 days 10:30:00.000000000,San Antonio Spurs,84,Portland Trail Blazers,96,Box Score,,"20,498",,1,0
2009-11-07,0 days 07:00:00.000000000,Denver Nuggets,100,Atlanta Hawks,125,Box Score,,"17,801",,1,0
2009-11-07,0 days 07:30:00.000000000,Boston Celtics,86,New Jersey Nets,76,Box Score,,"16,119",,0,1
