Date,Start (ET),Visitor/Neutral,AwayPTS,Home/Neutral,HomePTS, , ,Attend.,Notes,HomeWin,AwayWin
2009-11-27,0 days 08:00:00.000000000,Dallas Mavericks,113,Indiana Pacers,92,Box Score,,"16,613",,0,1
2009-11-27,0 days 08:30:00.000000000,San Antonio Spurs,92,Houston Rockets,84,Box Score,,"18,164",,0,1
2009-11-27,0 days 09:00:00.000000000,New York Knicks,125,Denver Nuggets,128,Box Score,,"19,155",,1,0
2009-11-27,0 days 09:30:00.000000000,Phoenix Suns,120,Minnesota Timberwolves,95,Box Score,,"18,225",,0,1
2009-11-27,0 days 09:30:00.000000000,Milwaukee Bucks,90,Oklahoma City Thunder,108,Box Score,,"18,203",,1,0
2009-11-27,0 days 10:00:00.000000000,Memphis Grizzlies,106,Portland Trail Blazers,96,Box Score,,"20,540",,0,1
2009-11-27,0 days 10:00:00.000000000,New Jersey Nets,96,Sacramento Kings,109,Box Score,,"12,725",,1,0
2009-11-28,0 days 07:00:00.000000000,Charlotte Bobcats,92,Washington Wizards,76,Box Score,,"17,311",,0,1
2009-11-28,0 days 07:30:00.000000000,Dallas Mavericks,95,Cleveland Cavaliers,111,Box Score,,"20,562",,1,0
2009-11-28,0 days 09:00:00.000000000,Orlando Magic,100,Milwaukee Bucks,98,Box Score,,"16,128",,0,1
2009-11-28,0 days 09:00:00.000000000,Portland Trail Blazers,92,Utah Jazz,108,Box Score,,"18,051",,1,0
2009-11-28,0 days 10:30:00.000000000,Los Angeles Lakers,130,Golden State Warriors,97,Box Score,,"20,001",,0,1
2009-11-29,0 days 01:00:00.000000000,Atlanta Hawks,88,Detroit Pistons,94,Box Score,,"15,273",,1,0
2009-11-29,0 days 01:00:00.000000000,Phoenix Suns,113,Toronto Raptors,94,Box Score,,"17,721",,0,1
2009-11-29,0 days 03:30:00.000000000,Memphis Grizzlies,88,Los Angeles Clippers,98,Box Score,,"14,854",,1,0
2009-11-29,0 days 06:00:00.000000000,Boston Celtics,92,Miami Heat,85,Box Score,,"18,104",,0,1
2009-11-29,0 days 06:00:00.000000000,Orlando Magic,114,New York Knicks,102,Box Score,,"18,861",,0,1
2009-11-29,0 days 07:00:00.000000000,Houston Rockets,100,Oklahoma City Thunder,91,Box Score,,"18,203",,0,1
2009-11-29,0 days 07:00:00.000000000,Philadelphia 76ers,89,San Antonio Spurs,97,Box Score,,"17,161",,1,0
2009-11-29,0 days 08:00:00.000000000,Minnesota Timberwolves,106,Denver Nuggets,100,Box Score,,"15,147",,0,1
2009-11-29,0 days 09:00:00.000000000,New Orleans Hornets,96,Sacramento Kings,112,Box Score,,"11,548",,1,0
2009-11-29,0 days 09:30:00.000000000,New Jersey Nets,87,Los Angeles Lakers,106,Box Score,,"18,997",,1,0
2009-11-30,0 days 08:00:00.000000000,Chicago Bulls,97,Milwaukee Bucks,99,Box Score,,"13,684",,1,0
2009-11-30,0 days 08:30:00.000000000,Philadelphia 76ers,102,Dallas Mavericks,104,Box Score,,"19,783",,1,0
2009-11-30,0 days 09:00:00.000000000,Memphis Grizzlies,93,Utah Jazz,120,Box Score,,"18,469",,1,0
2009-11-30,0 days 10:30:00.000000000,Indiana Pacers,107,Golden State Warriors,126,Box Score,,"16,574",,1,0
2009-12-01,0 days 07:00:00.000000000,Boston Celtics,108,Charlotte Bobcats,90,Box Score,,"15,129",,0,1
2009-12-01,0 days 07:00:00.000000000,Washington Wizards,106,Toronto Raptors,102,Box Score,,"15,776",,0,1
2009-12-01,0 days 07:30:00.000000000,Phoenix Suns,99,New York Knicks,126,Box Score,,"19,763",,1,0
2009-12-01,0 days 09:00:00.000000000,Golden State Warriors,107,Denver Nuggets,135,Box Score,,"14,570",,1,0
2009-12-01,0 days 10:00:00.000000000,Miami Heat,107,Portland Trail Blazers,100,Box Score,,"20,417",,0,1
2009-12-01,0 days 10:30:00.000000000,New Orleans Hornets,99,Los Angeles Lakers,110,Box Score,,"18,997",,1,0
2009-12-02,0 days 07:00:00.000000000,Toronto Raptors,115,Atlanta Hawks,146,Box Score,,"12,272",,1,0
2009-12-02,0 days 07:00:00.000000000,Phoenix Suns,90,Cleveland Cavaliers,107,Box Score,,"20,562",,1,0
2009-12-02,0 days 07:00:00.000000000,New York Knicks,104,Orlando Magic,118,Box Score,,"17,461",,1,0
2009-12-02,0 days 07:00:00.000000000,Milwaukee Bucks,102,Washington Wizards,104,Box Score,,"12,272",,1,0
2009-12-02,0 days 07:30:00.000000000,Dallas Mavericks,117,New Jersey Nets,101,Box Score,,"11,689",,0,1
2009-12-02,0 days 08:00:00.000000000,Detroit Pistons,85,Chicago Bulls,92,Box Score,,"21,523",,1,0
2009-12-02,0 days 08:00:00.000000000,Memphis Grizzlies,97,Minnesota Timberwolves,95,Box Score,,"11,408",,0,1
2009-12-02,0 days 08:00:00.000000000,Philadelphia 76ers,106,Oklahoma City Thunder,117,Box Score,,"17,332",,1,0
2009-12-02,0 days 10:00:00.000000000,Indiana Pacers,105,Sacramento Kings,110,Box Score,,"10,021",,1,0
2009-12-02,0 days 10:30:00.000000000,Houston Rockets,102,Los Angeles Clippers,85,Box Score,,"13,836",,0,1
2009-12-03,0 days 08:00:00.000000000,Boston Celtics,90,San Antonio Spurs,83,Box Score,,"18,581",,0,1
2009-12-03,0 days 10:30:00.000000000,Miami Heat,96,Denver Nuggets,114,Box Score,,"14,998",,1,0
2009-12-03,0 days 10:30:00.000000000,Houston Rockets,111,Golden State Warriors,109,Box Score,,"16,432",,0,1
2009-12-04,0 days 07:00:00.000000000,Toronto Raptors,109,Washington Wizards,107,Box Score,OT,"20,173",,0,1
2009-12-04,0 days 07:30:00.000000000,New York Knicks,114,Atlanta Hawks,107,Box Score,,"17,165",,0,1
2009-12-04,0 days 08:00:00.000000000,Chicago Bulls,87,Cleveland Cavaliers,101,Box Score,,"20,562",,1,0
2009-12-04,0 days 08:00:00.000000000,Milwaukee Bucks,96,Detroit Pistons,105,Box Score,,"16,557",,1,0
2009-12-04,0 days 08:00:00.000000000,Dallas Mavericks,82,Memphis Grizzlies,98,Box Score,,"13,020",,1,0
2009-12-04,0 days 08:00:00.000000000,Charlotte Bobcats,91,New Jersey Nets,97,Box Score,,"12,131",,1,0
2009-12-04,0 days 08:00:00.000000000,Minnesota Timberwolves,89,New Orleans Hornets,98,Box Score,,"14,720",,1,0
2009-12-04,0 days 08:00:00.000000000,Boston Celtics,105,Oklahoma City Thunder,87,Box Score,,"18,203",,0,1
2009-12-04,0 days 09:00:00.000000000,Indiana Pacers,87,Utah Jazz,96,Box Score,,"19,347",,1,0
2009-12-04,0 days 10:30:00.000000000,Miami Heat,107,Los Angeles Lakers,108,Box Score,,"18,997",,1,0
2009-12-05,0 days 07:00:00.000000000,Philadelphia 76ers,105,Charlotte Bobcats,106,Box Score,,"13,352",,1,0
2009-12-05,0 days 08:00:00.000000000,Toronto Raptors,110,Chicago Bulls,78,Box Score,,"20,481",,0,1
2009-12-05,0 days 08:00:00.000000000,Utah Jazz,101,Minnesota Timberwolves,108,Box Score,,"18,466",,1,0
2009-12-05,0 days 08:30:00.000000000,Denver Nuggets,106,San Antonio Spurs,99,Box Score,,"17,592",,0,1
2009-12-05,0 days 09:00:00.000000000,Atlanta Hawks,80,Dallas Mavericks,75,Box Score,,"19,550",,0,1
2009-12-05,0 days 09:00:00.000000000,Sacramento Kings,107,Phoenix Suns,115,Box Score,,"17,747",,1,0
2009-12-05,0 days 10:00:00.000000000,Houston Rockets,89,Portland Trail Blazers,90,Box Score,,"20,555",,1,0
2009-12-05,0 days 10:30:00.000000000,Orlando Magic,126,Golden State Warriors,118,Box Score,,"19,054",,0,1
2009-12-05,0 days 10:30:00.000000000,Indiana Pacers,72,Los Angeles Clippers,88,Box Score,,"15,305",,1,0
2009-12-06,0 days 03:00:00.000000000,Cleveland Cavaliers,101,Milwaukee Bucks,86,Box Score,,"16,625",,0,1
2009-12-06,0 days 06:00:00.000000000,Washington Wizards,94,Detroit Pistons,98,Box Score,,"14,123",,1,0
2009-12-06,0 days 09:00:00.000000000,Miami Heat,115,Sacramento Kings,102,Box Score,,"13,186",,0,1
2009-12-06,0 days 09:30:00.000000000,Phoenix Suns,88,Los Angeles Lakers,108,Box Score,,"18,997",,1,0
2009-12-06,0 days 12:00:00.000000000,New Jersey Nets,97,New York Knicks,106,Box Score,,"19,602",,1,0
2009-12-07,0 days 07:00:00.000000000,Denver Nuggets,93,Philadelphia 76ers,83,Box Score,,"20,664",,0,1
2009-12-07,0 days 07:30:00.000000000,Portland Trail Blazers,84,New York Knicks,93,Box Score,,"19,763",,1,0
2009-12-07,0 days 08:00:00.000000000,Golden State Warriors,88,Oklahoma City Thunder,104,Box Score,,"17,334",,1,0
2009-12-07,0 days 09:00:00.000000000,San Antonio Spurs,101,Utah Jazz,104,Box Score,,"17,565",,1,0
2009-12-08,0 days 07:00:00.000000000,Denver Nuggets,95,Charlotte Bobcats,107,Box Score,,"14,127",,1,0
2009-12-08,0 days 07:00:00.000000000,Minnesota Timberwolves,88,Toronto Raptors,94,Box Score,,"15,167",,1,0
2009-12-08,0 days 07:30:00.000000000,Milwaukee Bucks,89,Boston Celtics,98,Box Score,,"18,624",,1,0
2009-12-08,0 days 08:00:00.000000000,New Jersey Nets,103,Chicago Bulls,101,Box Score,,"17,872",,0,1
2009-12-08,0 days 08:00:00.000000000,Cleveland Cavaliers,109,Memphis Grizzlies,111,Box Score,OT,"16,325",,1,0
2009-12-08,0 days 08:00:00.000000000,Sacramento Kings,94,New Orleans Hornets,96,Box Score,,"13,140",,1,0
2009-12-08,0 days 08:30:00.000000000,Phoenix Suns,101,Dallas Mavericks,102,Box Score,,"19,857",,1,0
2009-12-08,0 days 10:30:00.000000000,Orlando Magic,97,Los Angeles Clippers,86,Box Score,,"16,750",,0,1
2009-12-09,0 days 07:00:00.000000000,Chicago Bulls,83,Atlanta Hawks,118,Box Score,,"16,808",,1,0
2009-12-09,0 days 07:00:00.000000000,Portland Trail Blazers,102,Indiana Pacers,91,Box Score,,"11,487",,0,1
2009-12-09,0 days 07:00:00.000000000,Detroit Pistons,90,Philadelphia 76ers,86,Box Score,,"12,136",,0,1
2009-12-09,0 days 07:30:00.000000000,Golden State Warriors,105,New Jersey Nets,89,Box Score,,"10,005",,0,1
2009-12-09,0 days 08:00:00.000000000,Toronto Raptors,95,Milwaukee Bucks,117,Box Score,,"12,637",,1,0
2009-12-09,0 days 08:00:00.000000000,New Orleans Hornets,97,Minnesota Timberwolves,96,Box Score,,"12,056",,0,1
2009-12-09,0 days 08:30:00.000000000,Cleveland Cavaliers,85,Houston Rockets,95,Box Score,,"18,200",,1,0
2009-12-09,0 days 08:30:00.000000000,Sacramento Kings,106,San Antonio Spurs,118,Box Score,,"17,353",,1,0
2009-12-09,0 days 10:30:00.000000000,Utah Jazz,77,Los Angeles Lakers,101,Box Score,,"18,997",,1,0
2009-12-10,0 days 07:30:00.000000000,Denver Nuggets,99,Detroit Pistons,101,Box Score,,"17,176",,1,0
2009-12-10,0 days 08:00:00.000000000,Boston Celtics,104,Washington Wizards,102,Box Score,,"20,173",,0,1
2009-12-10,0 days 10:30:00.000000000,Orlando Magic,111,Utah Jazz,120,Box Score,,"18,735",,1,0
2009-12-11,0 days 07:00:00.000000000,New Jersey Nets,91,Indiana Pacers,107,Box Score,,"12,175",,1,0
2009-12-11,0 days 07:00:00.000000000,Houston Rockets,96,Philadelphia 76ers,91,Box Score,,"13,991",,0,1
2009-12-11,0 days 07:00:00.000000000,Atlanta Hawks,111,Toronto Raptors,89,Box Score,,"17,032",,0,1
2009-12-11,0 days 07:30:00.000000000,Dallas Mavericks,106,Miami Heat,93,Box Score,,"18,703",,0,1
2009-12-11,0 days 08:00:00.000000000,Golden State Warriors,91,Chicago Bulls,96,Box Score,OT,"18,803",,1,0
2009-12-11,0 days 08:00:00.000000000,Portland Trail Blazers,99,Cleveland Cavaliers,104,Box Score,,"20,562",,1,0
2009-12-11,0 days 08:00:00.000000000,Oklahoma City Thunder,102,Memphis Grizzlies,94,Box Score,,"13,048",,0,1
2009-12-11,0 days 08:00:00.000000000,New York Knicks,113,New Orleans Hornets,96,Box Score,,"15,569",,0,1
2009-12-11,0 days 08:30:00.000000000,Charlotte Bobcats,85,San Antonio Spurs,104,Box Score,,"17,508",,1,0
2009-12-11,0 days 10:30:00.000000000,Minnesota Timberwolves,92,Los Angeles Lakers,104,Box Score,,"18,997",,1,0
2009-12-11,0 days 10:30:00.000000000,Orlando Magic,103,Phoenix Suns,106,Box Score,,"18,216",,1,0
2009-12-12,0 days 07:00:00.000000000,Indiana Pacers,114,Washington Wizards,113,Box Score,,"13,172",,0,1
2009-12-12,0 days 07:30:00.000000000,Golden State Warriors,95,Detroit Pistons,104,Box Score,,"16,952",,1,0
2009-12-12,0 days 08:00:00.000000000,Boston Celtics,106,Chicago Bulls,80,Box Score,,"21,257",,0,1
2009-12-12,0 days 08:30:00.000000000,Charlotte Bobcats,97,Dallas Mavericks,98,Box Score,OT,"20,151",,1,0
2009-12-12,0 days 08:30:00.000000000,Portland Trail Blazers,101,Milwaukee Bucks,108,Box Score,2OT,"15,973",,1,0
2009-12-12,0 days 09:00:00.000000000,Phoenix Suns,99,Denver Nuggets,105,Box Score,,"19,155",,1,0
2009-12-12,0 days 09:00:00.000000000,Los Angeles Lakers,94,Utah Jazz,102,Box Score,,"19,911",,1,0
2009-12-12,0 days 10:00:00.000000000,Minnesota Timberwolves,100,Sacramento Kings,120,Box Score,,"11,333",,1,0
2009-12-13,0 days 05:00:00.000000000,New Jersey Nets,107,Atlanta Hawks,130,Box Score,,"14,015",,1,0
2009-12-13,0 days 06:00:00.000000000,Memphis Grizzlies,118,Miami Heat,90,Box Score,,"14,465",,0,1
2009-12-13,0 days 07:00:00.000000000,Cleveland Cavaliers,102,Oklahoma City Thunder,89,Box Score,,"18,203",,0,1
2009-12-13,0 days 09:30:00.000000000,San Antonio Spurs,115,Los Angeles Clippers,90,Box Score,,"16,464",,0,1
2009-12-13,0 days 12:30:00.000000000,Houston Rockets,88,Toronto Raptors,101,Box Score,,"17,111",,1,0
2009-12-14,0 days 07:00:00.000000000,Indiana Pacers,98,Orlando Magic,106,Box Score,,"17,461",,1,0
2009-12-14,0 days 07:00:00.000000000,Golden State Warriors,101,Philadelphia 76ers,117,Box Score,,"12,795",,1,0
2009-12-14,0 days 08:00:00.000000000,Boston Celtics,110,Memphis Grizzlies,105,Box Score,,"14,193",,0,1
2009-12-14,0 days 08:30:00.000000000,New Orleans Hornets,90,Dallas Mavericks,94,Box Score,,"19,737",,1,0
2009-12-14,0 days 09:00:00.000000000,Oklahoma City Thunder,93,Denver Nuggets,102,Box Score,,"16,022",,1,0
2009-12-14,0 days 09:00:00.000000000,Minnesota Timberwolves,110,Utah Jazz,108,Box Score,,"18,090",,0,1
2009-12-14,0 days 10:30:00.000000000,Washington Wizards,95,Los Angeles Clippers,97,Box Score,,"14,511",,1,0
2009-12-15,0 days 07:00:00.000000000,New York Knicks,87,Charlotte Bobcats,94,Box Score,,"13,606",,1,0
2009-12-15,0 days 07:00:00.000000000,New Jersey Nets,89,Cleveland Cavaliers,99,Box Score,,"20,562",,1,0
2009-12-15,0 days 07:30:00.000000000,Toronto Raptors,95,Miami Heat,115,Box Score,,"15,106",,1,0
2009-12-15,0 days 08:00:00.000000000,Los Angeles Lakers,96,Chicago Bulls,87,Box Score,,"21,416",,0,1
2009-12-15,0 days 08:30:00.000000000,Detroit Pistons,96,Houston Rockets,107,Box Score,,"14,899",,1,0
2009-12-15,0 days 09:00:00.000000000,San Antonio Spurs,104,Phoenix Suns,116,Box Score,,"17,964",,1,0
2009-12-15,0 days 10:00:00.000000000,Sacramento Kings,88,Portland Trail Blazers,95,Box Score,,"20,588",,1,0
2009-12-16,0 days 07:00:00.000000000,Memphis Grizzlies,97,Atlanta Hawks,110,Box Score,,"13,013",,1,0
2009-12-16,0 days 07:00:00.000000000,Charlotte Bobcats,98,Indiana Pacers,101,Box Score,,"11,888",,1,0
2009-12-16,0 days 07:00:00.000000000,Toronto Raptors,99,Orlando Magic,118,Box Score,,"17,461",,1,0
2009-12-16,0 days 07:00:00.000000000,Cleveland Cavaliers,108,Philadelphia 76ers,101,Box Score,,"19,517",,0,1
2009-12-16,0 days 07:30:00.000000000,Utah Jazz,108,New Jersey Nets,92,Box Score,,"11,476",,0,1
2009-12-16,0 days 08:00:00.000000000,Los Angeles Lakers,107,Milwaukee Bucks,106,Box Score,OT,"16,309",,0,1
2009-12-16,0 days 08:00:00.000000000,Los Angeles Clippers,120,Minnesota Timberwolves,95,Box Score,,"12,526",,0,1
2009-12-16,0 days 08:00:00.000000000,Detroit Pistons,87,New Orleans Hornets,95,Box Score,,"13,196",,1,0
2009-12-16,0 days 08:00:00.000000000,Dallas Mavericks,100,Oklahoma City Thunder,86,Box Score,,"18,203",,0,1
2009-12-16,0 days 09:00:00.000000000,Houston Rockets,101,Denver Nuggets,111,Box Score,,"15,753",,1,0
2009-12-16,0 days 10:30:00.000000000,San Antonio Spurs,103,Golden State Warriors,91,Box Score,,"17,857",,0,1
2009-12-16,0 days 10:30:00.000000000,Washington Wizards,109,Sacramento Kings,112,Box Score,,"16,579",,1,0
2009-12-17,0 days 08:00:00.000000000,New York Knicks,89,Chicago Bulls,98,Box Score,,"19,791",,1,0
2009-12-17,0 days 08:00:00.000000000,Orlando Magic,86,Miami Heat,104,Box Score,,"18,303",,1,0
2009-12-17,0 days 10:30:00.000000000,Phoenix Suns,102,Portland Trail Blazers,105,Box Score,,"20,559",,1,0
2009-12-18,0 days 07:00:00.000000000,New Jersey Nets,95,Toronto Raptors,118,Box Score,,"15,901",,1,0
2009-12-18,0 days 07:30:00.000000000,Utah Jazz,83,Atlanta Hawks,96,Box Score,,"17,501",,1,0
2009-12-18,0 days 07:30:00.000000000,Philadelphia 76ers,98,Boston Celtics,97,Box Score,,"18,624",,0,1
2009-12-18,0 days 08:00:00.000000000,Milwaukee Bucks,82,Cleveland Cavaliers,85,Box Score,,"20,562",,1,0
2009-12-18,0 days 08:00:00.000000000,Indiana Pacers,94,Memphis Grizzlies,107,Box Score,,"13,217",,1,0
2009-12-18,0 days 08:00:00.000000000,Sacramento Kings,96,Minnesota Timberwolves,112,Box Score,,"13,144",,1,0
2009-12-18,0 days 08:00:00.000000000,Denver Nuggets,92,New Orleans Hornets,98,Box Score,,"14,453",,1,0
2009-12-18,0 days 08:00:00.000000000,Los Angeles Clippers,91,New York Knicks,95,Box Score,,"19,763",,1,0
2009-12-18,0 days 08:00:00.000000000,Detroit Pistons,98,Oklahoma City Thunder,109,Box Score,,"17,774",,1,0
2009-12-18,0 days 08:30:00.000000000,Houston Rockets,116,Dallas Mavericks,108,Box Score,OT,"19,890",,0,1
2009-12-18,0 days 10:30:00.000000000,Washington Wizards,118,Golden State Warriors,109,Box Score,,"17,423",,0,1
2009-12-19,0 days 07:00:00.000000000,Utah Jazz,110,Charlotte Bobcats,102,Box Score,,"14,963",,0,1
2009-12-19,0 days 07:00:00.000000000,Portland Trail Blazers,83,Orlando Magic,92,Box Score,,"17,461",,1,0
2009-12-19,0 days 07:30:00.000000000,Los Angeles Clippers,112,Philadelphia 76ers,107,Box Score,OT,"13,752",,0,1
2009-12-19,0 days 08:00:00.000000000,Atlanta Hawks,98,Chicago Bulls,101,Box Score,OT,"21,381",,1,0
2009-12-19,0 days 08:00:00.000000000,Los Angeles Lakers,103,New Jersey Nets,84,Box Score,,"17,190",,0,1
2009-12-19,0 days 08:30:00.000000000,Oklahoma City Thunder,90,Houston Rockets,95,Box Score,,"15,095",,1,0
2009-12-19,0 days 08:30:00.000000000,Sacramento Kings,96,Milwaukee Bucks,95,Box Score,,"13,745",,0,1
2009-12-19,0 days 08:30:00.000000000,Indiana Pacers,99,San Antonio Spurs,100,Box Score,,"17,075",,1,0
2009-12-19,0 days 09:00:00.000000000,Washington Wizards,95,Phoenix Suns,121,Box Score,,"16,811",,1,0
2009-12-20,0 days 04:00:00.000000000,Denver Nuggets,96,Memphis Grizzlies,102,Box Score,,"13,385",,1,0
2009-12-20,0 days 06:00:00.000000000,Minnesota Timberwolves,104,Boston Celtics,122,Box Score,,"18,624",,1,0
2009-12-20,0 days 06:00:00.000000000,Los Angeles Lakers,93,Detroit Pistons,81,Box Score,,"22,076",,0,1
2009-12-20,0 days 06:00:00.000000000,Portland Trail Blazers,102,Miami Heat,95,Box Score,,"16,500",,0,1
2009-12-20,0 days 07:30:00.000000000,Cleveland Cavaliers,95,Dallas Mavericks,102,Box Score,,"20,346",,1,0
2009-12-20,0 days 07:30:00.000000000,Charlotte Bobcats,94,New York Knicks,98,Box Score,,"18,767",,1,0
2009-12-20,0 days 12:30:00.000000000,New Orleans Hornets,92,Toronto Raptors,98,Box Score,,"15,790",,1,0
2009-12-21,0 days 07:00:00.000000000,Milwaukee Bucks,84,Indiana Pacers,81,Box Score,,"12,836",,0,1
2009-12-21,0 days 07:00:00.000000000,Utah Jazz,99,Orlando Magic,104,Box Score,,"17,461",,1,0
2009-12-21,0 days 08:00:00.000000000,Sacramento Kings,102,Chicago Bulls,98,Box Score,,"19,631",,0,1
2009-12-21,0 days 08:30:00.000000000,Los Angeles Clippers,87,San Antonio Spurs,103,Box Score,,"17,451",,1,0
2009-12-21,0 days 09:00:00.000000000,Cleveland Cavaliers,109,Phoenix Suns,91,Box Score,,"18,221",,0,1
2009-12-22,0 days 07:00:00.000000000,Detroit Pistons,76,Charlotte Bobcats,88,Box Score,,"16,864",,1,0
2009-12-22,0 days 07:00:00.000000000,Philadelphia 76ers,98,Washington Wizards,105,Box Score,,"15,435",,1,0
2009-12-22,0 days 07:30:00.000000000,Indiana Pacers,94,Boston Celtics,103,Box Score,,"18,624",,1,0
2009-12-22,0 days 07:30:00.000000000,Chicago Bulls,81,New York Knicks,88,Box Score,,"19,763",,1,0
2009-12-22,0 days 08:00:00.000000000,Golden State Warriors,108,Memphis Grizzlies,121,Box Score,,"12,827",,1,0
2009-12-22,0 days 08:00:00.000000000,Atlanta Hawks,112,Minnesota Timberwolves,87,Box Score,,"11,271",,0,1
2009-12-22,0 days 08:30:00.000000000,Portland Trail Blazers,85,Dallas Mavericks,81,Box Score,,"19,863",,0,1
2009-12-22,0 days 08:30:00.000000000,Los Angeles Clippers,99,Houston Rockets,108,Box Score,,"17,128",,1,0
2009-12-22,0 days 10:30:00.000000000,Oklahoma City Thunder,108,Los Angeles Lakers,111,Box Score,,"18,997",,1,0
2009-12-23,0 days 07:00:00.000000000,Houston Rockets,87,Orlando Magic,102,Box Score,,"17,461",,1,0
2009-12-23,0 days 07:30:00.000000000,Toronto Raptors,94,Detroit Pistons,64,Box Score,,"19,396",,0,1
2009-12-23,0 days 07:30:00.000000000,Utah Jazz,70,Miami Heat,80,Box Score,,"19,600",,1,0
2009-12-23,0 days 07:30:00.000000000,Minnesota Timberwolves,103,New Jersey Nets,99,Box Score,,"10,204",,0,1
2009-12-23,0 days 08:00:00.000000000,Washington Wizards,109,Milwaukee Bucks,97,Box Score,,"13,113",,0,1
2009-12-23,0 days 08:00:00.000000000,Golden State Warriors,102,New Orleans Hornets,108,Box Score,,"14,391",,1,0
2009-12-23,0 days 08:30:00.000000000,Portland Trail Blazers,98,San Antonio Spurs,94,Box Score,,"18,581",,0,1
2009-12-23,0 days 09:00:00.000000000,Atlanta Hawks,104,Denver Nuggets,124,Box Score,,"19,155",,1,0
2009-12-23,0 days 09:00:00.000000000,Oklahoma City Thunder,117,Phoenix Suns,113,Box Score,,"15,953",,0,1
2009-12-23,0 days 10:00:00.000000000,Cleveland Cavaliers,117,Sacramento Kings,104,Box Score,OT,"16,407",,0,1
2009-12-25,0 days 02:30:00.000000000,Boston Celtics,86,Orlando Magic,77,Box Score,,"17,461",,0,1
2009-12-25,0 days 05:00:00.000000000,Cleveland Cavaliers,102,Los Angeles Lakers,87,Box Score,,"18,997",,0,1
2009-12-25,0 days 08:00:00.000000000,Los Angeles Clippers,93,Phoenix Suns,124,Box Score,,"16,709",,1,0
2009-12-25,0 days 10:30:00.000000000,Denver Nuggets,96,Portland Trail Blazers,107,Box Score,,"20,664",,1,0
2009-12-25,0 days 12:00:00.000000000,Miami Heat,93,New York Knicks,87,Box Score,,"19,763",,0,1
2009-12-26,0 days 03:00:00.000000000,Memphis Grizzlies,101,Dallas Mavericks,106,Box Score,,"20,195",,1,0
2009-12-26,0 days 07:00:00.000000000,Atlanta Hawks,110,Indiana Pacers,98,Box Score,,"15,281",,0,1
2009-12-26,0 days 07:30:00.000000000,Houston Rockets,98,New Jersey Nets,93,Box Score,,"13,374",,0,1
2009-12-26,0 days 08:00:00.000000000,New Orleans Hornets,85,Chicago Bulls,96,Box Score,,"22,008",,1,0
2009-12-26,0 days 08:00:00.000000000,Washington Wizards,89,Minnesota Timberwolves,101,Box Score,,"16,838",,1,0
2009-12-26,0 days 08:00:00.000000000,Charlotte Bobcats,91,Oklahoma City Thunder,98,Box Score,,"17,961",,1,0
2009-12-26,0 days 08:30:00.000000000,San Antonio Spurs,112,Milwaukee Bucks,97,Box Score,,"14,864",,0,1
2009-12-26,0 days 09:00:00.000000000,Philadelphia 76ers,76,Utah Jazz,97,Box Score,,"19,911",,1,0
2009-12-26,0 days 10:00:00.000000000,Los Angeles Lakers,112,Sacramento Kings,103,Box Score,2OT,"17,345",,0,1
2009-12-26,0 days 10:30:00.000000000,Phoenix Suns,127,Golden State Warriors,132,Box Score,,"19,550",,1,0
2009-12-27,0 days 01:00:00.000000000,Detroit Pistons,95,Toronto Raptors,102,Box Score,,"19,800",,1,0
2009-12-27,0 days 06:00:00.000000000,Houston Rockets,83,Cleveland Cavaliers,108,Box Score,,"20,562",,1,0
2009-12-27,0 days 06:00:00.000000000,Indiana Pacers,80,Miami Heat,114,Box Score,,"19,600",,1,0
2009-12-27,0 days 06:00:00.000000000,San Antonio Spurs,95,New York Knicks,88,Box Score,,"19,763",,0,1
2009-12-27,0 days 08:00:00.000000000,Dallas Mavericks,104,Denver Nuggets,96,Box Score,,"19,756",,0,1
2009-12-27,0 days 09:30:00.000000000,Boston Celtics,90,Los Angeles Clippers,92,Box Score,,"19,060",,1,0
2009-12-28,0 days 07:00:00.000000000,Milwaukee Bucks,84,Charlotte Bobcats,94,Box Score,,"15,473",,1,0
2009-12-28,0 days 07:30:00.000000000,Oklahoma City Thunder,105,New Jersey Nets,89,Box Score,,"15,335",,0,1
2009-12-28,0 days 08:00:00.000000000,Washington Wizards,111,Memphis Grizzlies,116,Box Score,OT,"14,571",,1,0
2009-12-28,0 days 09:00:00.000000000,Los Angeles Lakers,103,Phoenix Suns,118,Box Score,,"18,422",,1,0
2009-12-28,0 days 10:00:00.000000000,Philadelphia 76ers,104,Portland Trail Blazers,93,Box Score,,"20,640",,0,1
2009-12-28,0 days 10:00:00.000000000,Denver Nuggets,101,Sacramento Kings,106,Box Score,,"14,548",,1,0
2009-12-28,0 days 10:30:00.000000000,Boston Celtics,99,Golden State Warriors,103,Box Score,,"19,259",,1,0
2009-12-29,0 days 07:00:00.000000000,Cleveland Cavaliers,95,Atlanta Hawks,84,Box Score,,"20,150",,0,1
2009-12-29,0 days 07:00:00.000000000,Oklahoma City Thunder,110,Washington Wizards,98,Box Score,,"17,152",,0,1
2009-12-29,0 days 07:30:00.000000000,New York Knicks,104,Detroit Pistons,87,Box Score,,"22,076",,0,1
2009-12-29,0 days 08:00:00.000000000,Indiana Pacers,95,Chicago Bulls,104,Box Score,,"21,887",,1,0
2009-12-29,0 days 08:30:00.000000000,New Orleans Hornets,100,Houston Rockets,108,Box Score,,"18,187",,1,0
